"Date","Price","Open","High","Low"
"Apr 2023","81.720","82.391","82.484","81.547"
"Mar 2023","82.160","82.588","82.920","81.610"
"Feb 2023","82.640","81.765","83.047","81.676"
"Jan 2023","81.739","82.670","83.038","80.874"
"Dec 2022","82.717","81.151","82.993","80.985"
"Nov 2022","81.359","82.817","82.996","80.483"
"Oct 2022","82.770","81.532","83.268","81.284"
"Sep 2022","81.509","79.535","82.020","79.010"
"Aug 2022","79.491","79.185","80.135","78.393"
"Jul 2022","79.336","78.970","80.235","78.805"
"Jun 2022","78.950","77.646","79.095","77.380"
"May 2022","77.569","76.505","77.915","75.990"
"Apr 2022","76.520","75.925","76.806","75.266"
"Mar 2022","75.901","75.289","77.187","75.260"
"Feb 2022","75.493","74.563","75.848","74.343"
"Jan 2022","74.529","74.463","75.327","73.748"
"Dec 2021","74.467","75.080","76.419","74.093"
"Nov 2021","75.090","74.960","75.201","73.834"
"Oct 2021","74.915","74.185","75.683","74.081"
"Sep 2021","74.164","72.992","74.368","72.913"
"Aug 2021","72.947","74.368","74.514","72.907"
"Jul 2021","74.337","74.374","75.031","74.218"
"Jun 2021","74.360","72.508","74.471","72.483"
"May 2021","72.511","74.279","74.332","72.315"
"Apr 2021","74.050","73.169","75.570","73.155"
"Mar 2021","73.137","73.585","73.783","72.268"
"Feb 2021","73.920","72.918","74.060","72.263"
"Jan 2021","72.877","73.100","73.600","72.785"
"Dec 2020","73.036","74.025","74.104","72.951"
"Nov 2020","73.990","74.567","75.015","73.637"
"Oct 2020","74.554","73.595","74.712","72.969"
"Sep 2020","73.560","73.215","74.055","72.753"
"Aug 2020","73.254","74.918","75.314","73.050"
"Jul 2020","74.916","75.525","75.625","74.488"
"Jun 2020","75.540","75.470","76.400","74.973"
"May 2020","75.590","75.319","76.145","75.038"
"Apr 2020","75.077","75.320","77.010","74.909"
"Mar 2020","75.333","72.527","76.385","72.026"
"Feb 2020","72.534","71.525","72.574","71.088"
"Jan 2020","71.540","71.365","72.125","70.678"
"Dec 2019","71.350","71.785","71.825","70.510"
"Nov 2019","71.746","70.975","72.245","70.555"
"Oct 2019","70.978","70.660","71.725","70.660"
"Sep 2019","70.640","71.455","72.409","70.354"
"Aug 2019","71.451","69.257","72.262","68.999"
"Jul 2019","68.860","68.962","69.160","68.282"
"Jun 2019","68.940","69.607","69.992","68.868"
"May 2019","69.570","69.580","70.649","69.095"
"Apr 2019","69.636","69.342","70.340","68.384"
"Mar 2019","69.180","70.826","71.000","68.350"
"Feb 2019","70.830","71.105","71.852","70.398"
"Jan 2019","70.950","69.635","71.529","69.239"
"Dec 2018","69.560","69.875","72.646","69.570"
"Nov 2018","69.640","73.855","73.872","69.565"
"Oct 2018","73.950","72.605","74.485","72.605"
"Sep 2018","72.500","70.790","72.985","70.725"
"Aug 2018","71.000","68.555","71.025","68.265"
"Jul 2018","68.450","68.490","69.128","68.275"
"Jun 2018","68.450","67.455","69.095","66.840"
