Date,Dollar_Rate
"Dec 25, 2022",82.717
"Dec 18, 2022",82.78
"Dec 11, 2022",82.706
"Dec 04, 2022",82.41
"Nov 27, 2022",81.41
"Nov 20, 2022",81.685
"Nov 13, 2022",81.617
"Nov 06, 2022",80.477
"Oct 30, 2022",81.962
"Oct 23, 2022",82.261
"Oct 16, 2022",82.529
"Oct 09, 2022",82.34
"Oct 02, 2022",82.82
"Sep 25, 2022",81.509
"Sep 18, 2022",81.25
"Sep 11, 2022",79.686
"Sep 04, 2022",79.635
"Aug 28, 2022",79.717
"Aug 21, 2022",79.961
"Aug 14, 2022",79.92
"Aug 07, 2022",79.641
"Jul 31, 2022",79.36
"Jul 24, 2022",79.336
"Jul 17, 2022",79.83
"Jul 10, 2022",79.76
"Jul 03, 2022",79.26
"Jun 26, 2022",78.928
"Jun 19, 2022",78.23
"Jun 12, 2022",77.935
"Jun 05, 2022",78.116
"May 29, 2022",77.592
"May 22, 2022",77.596
"May 15, 2022",77.85
"May 08, 2022",77.47
"May 01, 2022",76.956
"Apr 24, 2022",76.52
"Apr 17, 2022",76.46
"Apr 10, 2022",76.305
"Apr 03, 2022",75.938
"Mar 27, 2022",75.973
"Mar 20, 2022",76.28
"Mar 13, 2022",76.05
"Mar 06, 2022",76.483
"Feb 27, 2022",76.41
"Feb 20, 2022",75.06
"Feb 13, 2022",74.67
"Feb 06, 2022",75.319
"Jan 30, 2022",74.64
"Jan 23, 2022",75.034
"Jan 16, 2022",74.383
"Jan 09, 2022",74.151
"Jan 02, 2022",74.271
"Dec 26, 2021",74.467
"Dec 19, 2021",74.975
"Dec 12, 2021",75.985
"Dec 05, 2021",75.692
"Nov 28, 2021",75.224
"Nov 21, 2021",75.04
"Nov 14, 2021",74.333
"Nov 07, 2021",74.342
"Oct 31, 2021",74.174
"Oct 24, 2021",74.915
"Oct 17, 2021",74.994
"Oct 10, 2021",75.013
"Oct 03, 2021",75.112
"Sep 26, 2021",74.131
"Sep 19, 2021",73.813
"Sep 12, 2021",73.64
"Sep 05, 2021",73.517
"Aug 29, 2021",72.982
"Aug 22, 2021",73.47
"Aug 15, 2021",74.347
"Aug 08, 2021",74.239
"Aug 01, 2021",74.24
"Jul 25, 2021",74.337
"Jul 18, 2021",74.425
"Jul 11, 2021",74.606
"Jul 04, 2021",74.485
"Jun 27, 2021",74.512
